product_id,product_name,category,brand,price
1,Pro Monitor,Beauty,Lumi,469.14
2,Plus Novel,Beauty,HerbalNest,2018.36
3,Premium Skincare Set,Fashion,TrendLine,7429.15
4,Plus Jacket,Beauty,GlowLab,5708.52
5,Max Cookware,Electronics,SoundMax,79358.52
6,Essential Skincare Set,Electronics,Voltix,38531.06
7,Lite Speaker,Books,Penguin,442.76
8,Smart Cookware,Beauty,GlowLab,3030.08
9,Lite Yoga Mat,Electronics,SoundMax,8903.18
10,Ultra Lamp,Electronics,SoundMax,69904.86
11,Lite Mixer,Books,Maple Press,1074.89
12,Classic Headphones,Electronics,NovaTech,32836.87
13,Pro Keyboard,Fashion,TrendLine,912.39
14,Pro Monitor,Electronics,SoundMax,32895.06
15,Lite Backpack,Electronics,Voltix,69402.38
16,Max Backpack,Fashion,StyleHub,5716.23
17,Plus Keyboard,Books,Harper,286.05
18,Classic Watch,Fashion,UrbanWear,1531.29
19,Max Mixer,Home & Kitchen,PureHome,10050.79
20,Pro Speaker,Beauty,Lumi,787.98
21,Premium Watch,Home & Kitchen,CookEase,23377.41
22,Pro Mixer,Beauty,Lumi,3983.29
23,Plus Skincare Set,Beauty,HerbalNest,749.97
24,Plus Monitor,Home & Kitchen,HomeNest,19786.21
25,Pro Bottle,Beauty,Lumi,2336.75
26,Classic Jacket,Sports,ActiveX,2675.25
27,Smart Headphones,Beauty,GlowLab,3505.91
28,Daily Headphones,Sports,FitCore,429.71
29,Plus Novel,Electronics,PixelPro,37659.49
30,Max Sneakers,Beauty,GlowLab,5094.07
31,Max Cookware,Beauty,CarePlus,5582.73
32,Max Novel,Fashion,UrbanWear,2937.67
33,Daily Headphones,Books,ReadWell,1210.02
34,Daily Watch,Fashion,TrendLine,2046.54
35,Max Novel,Electronics,PixelPro,45168.88
36,Classic Monitor,Sports,Sprint,2764.07
37,Classic Lamp,Electronics,NovaTech,46051.44
38,Premium Mixer,Fashion,TrendLine,1622.26
39,Pro Speaker,Fashion,TrendLine,7547.49
40,Premium Skincare Set,Books,ReadWell,1613.41
41,Classic Keyboard,Home & Kitchen,HomeNest,8688.19
42,Daily Novel,Beauty,Lumi,4704.64
43,Max Speaker,Sports,Sprint,1226.39
44,Ultra Lamp,Home & Kitchen,Oak & Co,18612.88
45,Premium Mixer,Books,Penguin,616.06
46,Daily Monitor,Sports,Sprint,1615.73
47,Smart Jacket,Fashion,StyleHub,5522.07
48,Max Novel,Books,Harper,925.18
49,Premium Jacket,Home & Kitchen,HomeNest,13441.43
50,Premium Yoga Mat,Electronics,NovaTech,42025.96
51,Classic Speaker,Fashion,StyleHub,757.75
52,Lite Headphones,Home & Kitchen,HomeNest,1663.95
53,Daily Sneakers,Electronics,SoundMax,48412.47
54,Essential Keyboard,Home & Kitchen,PureHome,15747.07
55,Ultra Monitor,Fashion,StyleHub,663.24
56,Smart Keyboard,Home & Kitchen,PureHome,9709.61
57,Classic Monitor,Electronics,SoundMax,49337.82
58,Essential Watch,Sports,FitCore,6669.8
59,Classic Lamp,Fashion,StyleHub,6677.72
60,Ultra Monitor,Electronics,Voltix,34122.0
61,Essential Cookware,Fashion,UrbanWear,4521.58
62,Max Keyboard,Home & Kitchen,Oak & Co,14632.59
63,Premium Headphones,Beauty,HerbalNest,2009.86
64,Lite Sneakers,Home & Kitchen,CookEase,1724.1
65,Premium Backpack,Electronics,PixelPro,1134.69
66,Plus Keyboard,Books,Penguin,1529.61
67,Plus Skincare Set,Home & Kitchen,PureHome,5325.7
68,Classic Lamp,Electronics,NovaTech,50716.17
69,Classic Headphones,Sports,Sprint,5897.36
70,Smart Bottle,Beauty,CarePlus,2517.87
71,Classic Watch,Beauty,HerbalNest,5034.26
72,Smart Mixer,Fashion,Aster,5677.69
73,Daily Keyboard,Fashion,StyleHub,475.11
74,Smart Sneakers,Home & Kitchen,PureHome,19506.67
75,Essential Cookware,Electronics,NovaTech,40954.31
76,Classic Monitor,Fashion,UrbanWear,2972.05
77,Ultra Yoga Mat,Books,Maple Press,1349.36
78,Premium Speaker,Beauty,CarePlus,4179.18
79,Essential Monitor,Fashion,StyleHub,2691.53
80,Ultra Skincare Set,Electronics,NovaTech,78656.68
81,Premium Mixer,Beauty,HerbalNest,3962.51
82,Pro Headphones,Fashion,StyleHub,4964.5
83,Smart Speaker,Electronics,PixelPro,6334.52
84,Lite Speaker,Electronics,PixelPro,22922.05
85,Ultra Monitor,Beauty,CarePlus,2792.45
86,Smart Jacket,Beauty,Lumi,3857.63
87,Pro Yoga Mat,Electronics,Voltix,41410.88
88,Essential Backpack,Electronics,SoundMax,61232.21
89,Essential Skincare Set,Beauty,GlowLab,1722.89
90,Premium Keyboard,Home & Kitchen,Oak & Co,17673.06
91,Essential Cookware,Beauty,CarePlus,4936.26
92,Plus Novel,Electronics,NovaTech,61391.96
93,Pro Keyboard,Beauty,GlowLab,4670.91
94,Daily Bottle,Books,ReadWell,1616.04
95,Classic Lamp,Home & Kitchen,CookEase,2470.79
96,Daily Skincare Set,Electronics,NovaTech,56017.57
97,Pro Novel,Beauty,HerbalNest,5818.33
98,Pro Yoga Mat,Fashion,StyleHub,4717.11
99,Ultra Sneakers,Electronics,Voltix,18011.45
100,Essential Speaker,Fashion,Aster,7990.4
101,Smart Novel,Books,Penguin,438.22
102,Plus Headphones,Fashion,TrendLine,2883.79
103,Lite Keyboard,Sports,ActiveX,1969.0
104,Plus Jacket,Home & Kitchen,HomeNest,11827.02
105,Ultra Keyboard,Home & Kitchen,CookEase,10704.35
106,Max Sneakers,Electronics,PixelPro,39706.28
107,Max Bottle,Beauty,GlowLab,5582.3
108,Max Headphones,Electronics,SoundMax,38683.29
109,Classic Sneakers,Home & Kitchen,CookEase,13059.81
110,Ultra Bottle,Fashion,Aster,7127.45
111,Ultra Speaker,Fashion,Aster,6596.74
112,Classic Jacket,Home & Kitchen,PureHome,6297.16
113,Plus Watch,Electronics,NovaTech,1823.74
114,Lite Skincare Set,Fashion,UrbanWear,5147.15
115,Classic Cookware,Books,Penguin,1544.0
116,Essential Sneakers,Electronics,PixelPro,44585.73
117,Lite Bottle,Fashion,Aster,1926.06
118,Classic Bottle,Fashion,UrbanWear,6008.43
119,Max Cookware,Fashion,TrendLine,5455.45
120,Max Watch,Beauty,GlowLab,3477.19
121,Pro Keyboard,Electronics,PixelPro,69176.22
122,Pro Cookware,Home & Kitchen,PureHome,19692.36
123,Premium Mixer,Beauty,HerbalNest,4074.12
124,Essential Lamp,Fashion,Aster,5418.64
125,Lite Jacket,Books,Maple Press,1242.63
126,Pro Jacket,Books,Penguin,1016.52
127,Premium Novel,Electronics,PixelPro,37542.59
128,Ultra Novel,Fashion,Aster,5763.92
129,Lite Novel,Electronics,NovaTech,49151.16
130,Essential Bottle,Electronics,SoundMax,39606.46
131,Ultra Watch,Home & Kitchen,PureHome,3515.87
132,Essential Speaker,Home & Kitchen,Oak & Co,17667.45
133,Lite Keyboard,Fashion,UrbanWear,5274.19
134,Daily Mixer,Fashion,UrbanWear,2935.31
135,Classic Keyboard,Fashion,UrbanWear,3043.69
136,Plus Jacket,Books,Harper,557.09
137,Plus Jacket,Books,Maple Press,1737.16
138,Classic Watch,Electronics,NovaTech,68927.95
139,Smart Speaker,Beauty,Lumi,3454.08
140,Pro Backpack,Home & Kitchen,HomeNest,10280.67
141,Pro Cookware,Beauty,Lumi,4473.59
142,Lite Skincare Set,Home & Kitchen,CookEase,13382.11
143,Max Speaker,Books,ReadWell,1760.15
144,Daily Skincare Set,Electronics,PixelPro,5165.71
145,Premium Mixer,Fashion,Aster,564.0
146,Plus Monitor,Books,Penguin,1088.21
147,Lite Keyboard,Electronics,NovaTech,16899.71
148,Pro Speaker,Electronics,NovaTech,48660.89
149,Smart Mixer,Beauty,CarePlus,4732.25
150,Daily Bottle,Sports,Sprint,1639.66
151,Essential Skincare Set,Beauty,GlowLab,2755.53
152,Essential Lamp,Sports,Sprint,6980.07
153,Premium Skincare Set,Beauty,Lumi,5036.41
154,Classic Sneakers,Electronics,PixelPro,40110.45
155,Classic Yoga Mat,Home & Kitchen,CookEase,5471.38
156,Classic Watch,Sports,Sprint,5982.25
157,Pro Cookware,Sports,ActiveX,4708.82
158,Classic Headphones,Electronics,NovaTech,61936.49
159,Smart Novel,Electronics,Voltix,44801.62
160,Pro Jacket,Sports,PlayPro,3010.4
161,Max Skincare Set,Fashion,UrbanWear,6108.83
162,Plus Lamp,Electronics,Voltix,41805.56
163,Lite Backpack,Sports,Sprint,2022.2
164,Daily Watch,Home & Kitchen,CookEase,14251.58
165,Classic Mixer,Fashion,TrendLine,7602.06
